EXETER-ALBERT-TERRACE,,,,,,,,,,
Grid ref,SX928931,Long,-3.51909,Lat,50.72761,Elevation,141,ft,,
Station no,RR8748,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,1.17,3.02,4.15,2.89,4.6,6.3,,,
February,,3.47,1.04,0.54,1.28,2.88,3.96,,,
March,,3.7,4.76,2.72,2.79,1.66,4.68,,,
April,,0.63,3.02,1.72,1.53,0.43,2.27,,,
May,,1.25,1.92,1.38,1.43,3.17,2.13,,,
June,,2.63,2.66,3.7,1.06,1.37,1.28,,,
July,,3.45,2.08,1.15,0.59,2.33,0.76,,,
August,3.86,0.95,1.97,3.1,1.36,4.22,1.86,,,
September,1.95,1.92,2.82,2.49,2.45,0.03,6.34,,,
October,1.46,1.99,5.3,6.68,1.95,6.51,3.4,,,
November,3.83,4.11,0.82,2.57,3.17,4.4,1.67,,,
December,7.4,2.69,2.41,1.98,3.83,4.17,2.53,,,
Total,,27.96,31.82,32.18,24.33,35.77,37.18,,,
,,,,,,,,,,
10 Albert Terrace,,,,,,,,,,
1862 Jan Total amended 1977,,,,,,,,,,
1863 Oct Total amended 1977,,,,,,,,,,
