GLASGOW POLLOKSHIELDS,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 575 637,Long,-4.278223,Lat,55.845761,Elevation,50,ft,,,,,,,,,,,,
Station no,RR1976,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,3.26,4.43,5.09,,,,,,,,,
February,,,,,,,,,1.3,5.23,3.21,,,,,,,,,
March,,,,,,,,,1.46,5.6,7.94,,,,,,,,,
April,,,,,,,,,2.12,3.9,1.01,,,,,,,,,
May,,,,,,,,,3.58,0.52,,,,,,,,,,
June,,,,,,,,,3.79,1.36,4.78,,,,,,,,,
July,,,,,,,,1.22,5.39,1.98,2.13,,,,,,,,,
August,,,,,,,,1.4,2.09,2.89,3.54,,,,,,,,,
September,,,,,,,,2.96,2.88,3.88,1.5,,,,,,,,,
October,,,,,,,,2.7,5.09,3.46,4.68,,,,,,,,,
November,,,,,,,,2.54,1.63,3.04,1.28,,,,,,,,,
December,,,,,,,,3.94,3.08,3.5,2.8,,,,,,,,,
Total,,,,,,,,,35.67,39.79,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1857 Gauge moves from Ibroxholme 1 mile,,,,,,,,,,,,,,,,,,,,
LilyBank Cottage,,,,,,,,,,,,,,,,,,,,
Obs. Gardner,,,,,,,,,,,,,,,,,,,,
