"TAIN (TARLOGIE HOUSE)",,,,,,,,,,,,
Grid ref,NH776825,Long,-4.061947,Lat,57.815292,,,,,,,
Station no,5777/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,-999.00,1.70,2.00,1.45,3.09,3.31,3.06,3.48,,,
February,1.64,-999.00,1.89,1.77,2.39,1.79,1.76,2.92,0.94,,,
March,2.05,-999.00,1.30,1.84,1.26,1.19,2.82,1.29,2.13,,,
April,4.30,-999.00,1.82,0.90,0.94,2.27,0.68,1.45,,,,
May,1.08,-999.00,2.87,3.55,2.41,1.68,1.46,3.78,,,,
June,1.32,1.16,2.50,2.56,0.98,2.05,2.44,1.89,,,,
July,2.74,1.89,3.07,4.23,0.40,5.90,7.14,2.05,,,,
August,4.57,4.27,2.18,2.22,0.56,4.31,4.17,3.23,,,,
September,0.93,1.32,2.00,2.33,1.60,3.53,1.05,2.12,,,,
October,1.13,2.13,1.06,6.29,3.10,3.53,1.59,2.53,,,,
November,4.67,2.81,2.35,3.06,1.16,2.15,1.39,1.43,,,,
December,3.52,2.18,2.18,4.92,5.03,2.91,5.22,2.50,,,,
Total,31.08,-999.00,24.92,35.67,21.28,34.40,33.03,28.25,,,,
Calc annual,31.08,15.76,24.92,35.67,21.28,34.40,33.03,28.25,6.55,0.00,,
Difference,0.00,-1014.76,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
