TAIN (TARLOGIE HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NH 75576 83669,Long,-4.0966,Lat,57.825228,Elevation,140,ft,,,,,,,,,,,,
Station no,5777/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.06,1.61,1.88,2.96,3.7,3.28,3.13,2.17,,,,,,,,
February,,,,,2.66,2.55,1.94,2.82,2.14,2.35,1.64,1.64,,,,,,,,
March,,,,,1.15,1.11,1.35,1.16,2.55,1.03,2.05,2.03,,,,,,,,
April,,,,,1.61,0.98,2.45,2.25,2.05,2.92,4.3,0.63,,,,,,,,
May,,,,,2.67,1.53,2.34,3.11,1.98,1.82,1.08,1.28,,,,,,,,
June,,,,2.9,3.64,2.49,2.69,2.94,1.4,2.23,1.32,,,,,,,,,
July,,,,1.51,3.14,5.06,2.64,2.67,1.08,3.47,2.74,,,,,,,,,
August,,,,1.54,2.98,3.04,0.09,4.67,3.73,2.2,4.57,,,,,,,,,
September,,,,3.7,3.35,4.01,3.56,2.41,1.65,5.67,0.93,,,,,,,,,
October,,,,3.9,4.3,0.25,1.59,2.75,1.17,1.58,1.13,,,,,,,,,
November,,,,3.88,0.31,4.11,3.66,2.7,1.58,3.21,4.67,,,,,,,,,
December,,,,2.23,3.57,1.73,2.21,3.16,5.67,2,3.52,,,,,,,,,
Total,,,,,32.44,28.47,26.4,33.6,28.7,31.76,31.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1944 -100 Deleted,,,,,,,,,,,,,,,,,,,,
1952 Transcribed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5777/3,,,,,,,,,,,,,,,,,,,
Midas,14496,,,,,,,,,,,,,,,,,,,
Hyd Stn,785165,,,,,,,,,,,,,,,,,,,
