TAIN (Mayfield),,,,,,,,,,
Grid ref,NH776825,Long,-4.061947,Lat,57.815292,Elevation,77,ft,,
Station no,5777/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.7,2,1.45,3.09,3.31,3.06,3.48,
February,,,1.89,1.77,2.39,1.79,1.76,2.92,0.94,
March,,,1.3,1.84,1.26,1.19,2.82,1.29,2.13,
April,,,1.82,0.9,0.94,2.27,0.68,1.45,,
May,,,2.87,3.55,2.41,1.68,1.46,3.78,,
June,,1.16,2.5,2.56,0.98,2.05,2.44,1.89,,
July,,1.89,3.07,4.23,0.4,5.9,7.14,2.05,,
August,,4.27,2.18,2.22,0.56,4.31,4.17,3.23,,
September,,1.32,2,2.33,1.6,3.53,1.05,2.12,,
October,,2.13,1.06,6.29,3.1,3.53,1.59,2.53,,
November,,2.81,2.35,3.06,1.16,2.15,1.39,1.43,,
December,,2.18,2.18,4.92,5.03,2.91,5.22,2.5,,
Total,,,24.92,35.67,21.28,34.4,33.03,28.25,,
,,,,,,,,,,
Station no,5777/3,,,,,,,,,
Midas,14496,,,,,,,,,
Hyd Stn,786186,,,,,,,,,
