SOUTHAMPTON-TOTTON-REFORMATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU326129,Long,-1.53654,Lat,50.91525,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.18,3.62,3.62,,,,,,1.79,4.27,3.57,1.47,2.51,0.63,3.13,3.92,1.67,,2.84,4.77,1.06,,,,
February,,,,,,3.66,0.52,0.8,,,,,,4.53,2.71,0.07,0.4,4.55,2.07,2.69,4.83,1.26,,2.26,4.3,0.7,,,,
March,,,,,,1.76,2.71,1.5,,,,,0.93,0.6,1.93,2.51,3.86,6.46,0.61,0.99,1.41,3.31,,3.81,1.25,5.38,,,,
April,,,,,,1.45,2.1,1.35,,,,,0.64,0.07,2.31,3.11,0.5,2.9,1.96,3.27,2.55,2.52,,2.84,1.21,1.81,,,,
May,,,,,,4.01,4.41,1.05,,,,,0.87,0.68,1.63,0.16,0.22,0.77,5.07,1.29,2.21,1.16,,3.37,3.96,0.73,,,,
June,,,,,,1.66,0.96,1,,,,,1.41,1.2,2.26,1.81,1.79,3.31,1.49,1.05,2.82,0.84,,2.57,1.11,3.5,,,,
July,,,,,,0.25,2.62,0.68,,,,,2.4,4.06,5,3.97,0.64,1.06,0.7,1.06,0.66,3.54,,2.5,2.43,0.47,,,,
August,,,,,,1.02,1.12,2.67,,,,,4.05,1.43,2.01,3.12,2.75,3.55,1.13,0.82,3.25,2.74,,4.12,3.84,3.07,,,,
September,,,,,,4.7,2.14,2.59,,,,,3.33,1.88,2.64,0.41,8.61,2.81,1.17,3.4,1.01,2.34,,2.38,2.7,2.53,,,,
October,,,,,,3.45,3.95,1.3,,,,,4.47,3.62,5.45,3.52,3.58,1.23,6.22,2.04,2.38,2.82,,10.06,2.3,1.61,,,,
November,,,,,,3.37,4.47,4.2,,,,,2.88,2.14,6.33,7.91,1.36,0.98,4.38,4.76,3.98,0.45,,2.32,0.95,5.09,,,,
December,,,,,,1.76,7.59,2.03,,,,,1.87,3.24,2.72,2.77,5.75,4.86,3.93,1.54,4.61,4.97,,3.22,4.75,0.94,,,,
Total,,,,,,29.27,36.21,22.79,,,,,,25.24,39.26,32.93,30.93,34.99,29.36,26.04,33.63,27.62,,42.29,33.57,26.89,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888 Gauge moved 2.5 miles to Totton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
