ERPINGHAM-WOLTERTON-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TG166316,Long,1.214439,Lat,52.838342,Elevation,115,ft,,,,,,,,,,,,
Station no,1437/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.77,3.07,3.23,1.68,2.5,2.26,3.54,2.12,2.31,3.26,4.14
February,,,,,,,,,,4.01,2.81,1.1,1.98,2.54,3.03,2.2,2.45,4.27,0.18,2.19
March,,,,,,,,,,0.29,3.41,2.81,1.23,2.33,1.92,0.9,1.96,1.24,1.03,1.19
April,,,,,,,,,,2.57,3.06,1.69,2.25,0.54,0.7,0.88,0.59,1.11,1.59,0.75
May,,,,,,,,,,1.73,1.95,1.19,1.23,2.04,3.12,0.55,1.18,3.3,0.38,0.31
June,,,,,,,,,,1.96,0.97,0.81,3.73,2.22,2.17,2.3,1.99,2.85,1.45,2.27
July,,,,,,,,,,6.6,1.95,2.13,2.34,3.3,0.34,3.09,3.67,4.9,3.64,3.52
August,,,,,,,,,,2.72,3.29,1.97,2.22,4.99,0.94,3.37,2.68,3.82,1.79,2.83
September,,,,,,,,,,3.18,2.61,4.4,1.48,2.12,1.52,1.18,4.49,2.18,0.15,5.06
October,,,,,,,,,,1.31,1.11,2.62,2.96,2.47,4.46,3.24,1.31,1.8,2.34,4.7
November,,,,,,,,,,4.78,3.67,4.8,1.63,3.94,1.02,1.42,1.7,0.94,2.28,3.98
December,,,,,,,,,,3,1.67,3.28,1.27,2.58,1.75,1.59,2.75,2.68,3.25,4.3
Total,,,,,,,,,,33.92,29.57,30.03,24,31.57,23.23,24.26,26.89,31.4,21.34,35.24
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
