AYLESBURY NEW ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP820138,Long,-0.8106,Lat,51.8169,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR482 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January ,6,2.75,0.75,1.5,4.5,3,2.25,3.5,1.5,5.5,2.5,0.75,0.5,1.6,1.8,3,1.8,2,3.8,1.6,1.1,1.4,3.2,1.2,0.9,2.3,1.8,2.2,1,1.4,1.1,1.6
February ,2.5,3.25,0.75,1.02,2,1.75,1.5,1,3.25,2,0.75,2,3,2.4,1.5,3.5,0.8,2.1,0.6,0.9,2,3.3,0.8,0,1.3,2.6,1.5,0.25,0.25,2.3,1.3,1
March ,3,1.1,1.25,1,2.25,1.2,1.1,1.1,2.5,2.1,1,1.1,1.75,1.5,1.5,0.4,1.25,1.6,1,1.2,1.9,2.3,2,1.4,0.9,0.3,1,1.1,2.3,2.6,1.71,0.2
April ,2.2,1.5,1,3.5,1.75,0.75,0.75,1.5,3.7,2.7,2.2,4.5,2,0.5,3.25,1.25,1.25,1.6,1.3,1.1,1.4,2.6,1.7,0.9,0.6,0.1,1.2,1.2,0.5,1.6,1.6,2
May ,1.5,2.5,1,1.01,2.75,2.75,1.1,2.75,0.8,4,3,6,1.6,1,1.6,1.75,0.7,2.5,3.7,2.3,1.8,3.6,1.3,2.4,1,0.8,1.9,0.8,0.3,0.4,2.02,1.2
June ,0.5,1.5,0.75,2.01,2.75,3.1,1,4.1,1.4,0.75,1.4,6,3.25,2.4,2.6,1.5,2.25,2,1.5,1.3,2.1,2.5,1.1,1.2,1.8,0.4,1.8,1.4,2.6,3.2,2.3,0.8
July ,1,0.5,4,3.25,2.75,2.5,1.1,4.8,0.5,3.5,1,5.25,8.75,2,1.75,2.5,2.6,0.4,2.1,0.6,4.1,3.2,4.7,2.4,3,3.1,2.7,5.1,0.75,0.5,1,0.9
August ,3,1.25,1.25,0.75,2.5,3.75,0.6,1.5,1.1,3.25,3.8,7.5,2.5,4.8,1.4,0.9,2.7,2,1.3,1.5,2,2.1,2.9,5.6,3,1.3,2.5,3.7,3.6,2.5,1.7,0.9
September ,2.5,2.25,1,5,1.25,2.75,3.5,2.6,6.3,2.5,1.5,3.5,3.5,1.9,2.5,3.5,1.7,3.8,2,3.2,1.8,1.8,0.7,2,2.4,0.9,3.2,1.2,6.1,2.4,0.85,3.5
October ,2,1.5,3.5,1.25,3.75,2.75,4.2,7.9,1.5,1.75,2.5,1.25,5.5,2.1,4.8,1.5,1.7,5.1,5.2,1.3,1.3,3.7,1.7,8.1,4.4,2.6,3.9,3,4,0.5,3.2,2.4
November ,1,2.5,1.75,0.5,3.5,2,2,3.5,5.5,5,3.25,0.4,3.6,2.75,3.25,3.4,1.4,4.9,3.6,3.1,4.5,1.3,2.3,2.7,2.7,2.2,5.2,3.9,1,0.6,2,3.3
December ,4,2.25,2,1,4,0.75,2.5,1.5,7,2,1.5,1,2.75,4,3.1,0.3,3.1,0.75,4,2,2.8,1,0.75,4.8,1.7,1.5,1.4,2.1,4.3,2.7,2.4,2.1
Total ,29.2,22.85,19,21.79,33.75,27.05,21.6,35.75,35.05,35.05,24.4,39.25,38.7,26.95,29.05,23.5,21.25,28.75,30.1,20.1,26.8,28.8,23.15,32.7,23.7,18.1,28.1,25.95,26.7,20.7,21.18,19.9
