SOUTH-GODSTONE-HARTSRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ358498,Long,-0.05597,Lat,51.23129,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.84,2.85,2.88,2.46,3.79,1.52,3.35,2.08,2.79,2.28,2.39,1.46,5.24,5.6,3.61,4.84,2.43,2.43,3.54,6.07,,,,,,,
February,,,,,0.78,3.71,2.73,4.88,1.61,0.61,1.03,2.6,0.61,2.38,0.38,3.22,2.16,4.56,0.88,1.61,2.25,2.82,1.33,2.09,,,,,,,
March,,,,,1.9,0.74,0.49,3.5,2.27,0.03,1.8,0.45,1.64,3.5,2.39,0.46,1.41,3.61,0.58,1.83,2.83,3.79,2.35,0.44,,,,,,,
April,,,,,3.44,2.76,4.22,2.15,2.06,0.94,1.79,4.49,2.3,0.93,2.63,3.5,1.97,3.33,0.36,2.56,1.71,1.85,1.53,1.22,,,,,,,
May,,,,,3.45,2.38,1.29,1.06,1.9,2.01,3.64,3.02,4.66,2.28,0.8,2.03,0.5,2.25,2.58,1.42,1.82,2,3.64,2.55,,,,,,,
June,,,,,2.85,0.23,3.7,3.73,2.53,1.23,0.61,1.38,1.59,1.77,1.54,3.6,2.97,2.01,0.63,0.99,0.31,2.31,0.09,1.56,,,,,,,
July,,,,,4.17,4.37,1.6,3.19,1.77,2.79,2.74,3.12,2.42,1.81,2.1,0.82,4.06,0.87,2.6,2.38,2.72,2.6,2.41,2.23,,,,,,,
August,,,,,3.48,2.84,2.88,4.76,3.44,2.18,3.68,5.44,1.26,0.73,1.79,3.88,0.5,1.01,1.82,2.88,0.1,4.53,2.88,1.26,,,,,,,
September,,,,,3.54,2.42,0.86,5.64,0.82,0.28,3.94,1.8,2.27,2.82,1.88,4.11,2.21,2.74,2.76,1.32,1.52,0.8,2.24,1.74,,,,,,,
October,,,,,3.67,3.55,2.55,1.8,5.28,3.78,2.18,0.67,6.4,2.33,2.16,4.39,1.85,3,3.16,7.71,3.55,1.48,3.79,3.25,,,,,,,
November,,,,,3.29,3.11,5.94,3.13,2.79,7.47,4.88,4,1.4,1.09,3.61,5.43,4.66,1.98,3.62,5.52,7.94,3.27,1.77,2.13,,,,,,,
December,,,,,4.21,3.24,0.54,4.25,3.65,7.3,2.44,0.62,0.64,0.66,7.24,4.05,3.01,4.59,3.46,1.67,1.91,2.46,3.1,1.84,,,,,,,
Total,,,,,37.62,32.2,29.68,40.55,31.91,30.14,32.08,29.67,27.98,22.58,28.91,36.95,30.54,35.55,26.06,34.73,29.09,30.34,28.67,26.38,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartsridge found on OS maps Distances match but elevation on sheet 450ft too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Not printed 3in low Inner receptacles leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Not printed Gauge still not satisfactorily repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Annual total only Retained in file Not on sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
