WORTH-FELDER-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR329558,Long,1.3362656,Lat,51.253774,Elevation,26,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.02,1.67,2.25,1.21,2.58,2.75,1.54,2,2.13,2.5,3.92,5.08,3.46,5.01,1.76,,,,,,,,,,
February,,,,,,,2.07,3.99,0.93,0.73,1.92,2.22,0.68,1.09,0.21,3.04,2.96,4.3,0.85,1.19,1.58,,,,,,,,,,
March,,,,,,1.16,0.31,2.1,2.14,0.23,2.14,0.28,1.26,1.43,3.12,0.22,0.86,4.86,0.54,2.32,2.5,,,,,,,,,,
April,,,,,,2.83,2.87,1.54,2.75,0.92,1.48,2.49,1.93,0.62,2,2.79,1.59,2.02,0.76,2.59,0.95,,,,,,,,,,
May,,,,,,2.05,0.98,0.59,2.5,1.07,2.82,2.07,2.08,1.35,1.4,1.82,0.17,3.47,2.39,2.49,0.32,,,,,,,,,,
June,,,,,,0.7,4.13,3.26,1.71,1.52,1.02,0.61,1.01,1.99,0.83,2.82,2.47,1.78,0.76,1.41,0.19,,,,,,,,,,
July,,,,,,3.84,,6.89,0.89,0.82,2.83,3.37,3.28,1.25,1.23,0.26,4.07,1.14,2.99,2.43,2.17,,,,,,,,,,
August,,,,,,1.69,,3.85,1.53,2.12,2.53,3.37,1.28,0.4,2.3,2.86,1.57,1.3,3.37,1.57,0.16,,,,,,,,,,
September,,,,,,2.85,,2.68,1.59,0.5,3.44,1.46,1.78,6.31,0.86,3.51,4.12,2.98,2.95,2.9,1.86,,,,,,,,,,
October,,,,,,2.89,4.32,1.08,4.07,3.63,1.26,0.74,6.65,1.93,2.3,3.29,2.07,2.96,3.47,11.92,3.4,,,,,,,,,,
November,,,,,,3.67,5.6,2.43,4.77,4.77,5.1,2.99,0.85,2.5,2.19,5.47,4.73,1.25,3.23,4.49,6.57,,,,,,,,,,
December,,,,,,2.71,0.82,4.14,3.37,6.67,2.3,0.58,0.47,0.75,4.56,3.11,2.6,6.05,2.76,1.09,1.6,,,,,,,,,,
Total,,,,,,,,34.22,28.5,24.19,29.42,22.93,22.81,21.62,23.13,31.69,31.13,37.19,27.53,39.41,23.06,,,,,,,,,,
