"PEASLAKE (HEATHFOLD)",,,,,,,,,,,,
Grid ref,TQ087442,Long,-0.446031,Lat,51.186701,,,,,,,
Station no,190/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.83,2.48,1.65,1.61,3.65,5.07,2.90,3.56,3.42,3.24,,
February,7.74,0.94,1.67,2.92,2.02,0.36,4.66,2.53,0.11,2.58,,
March,4.66,3.05,0.59,3.40,1.64,1.05,1.98,2.39,3.16,2.25,,
April,3.23,2.26,2.82,0.32,0.32,1.53,0.52,1.08,3.06,0.97,,
May,3.08,3.41,2.79,2.72,4.15,0.41,1.71,3.05,0.65,1.77,,
June,1.17,2.05,2.25,4.46,2.78,2.94,1.35,4.57,1.24,2.67,,
July,2.98,2.10,4.60,3.37,1.03,3.96,4.74,1.77,1.48,4.12,,
August,5.15,3.40,2.13,3.56,1.15,4.19,3.56,4.25,2.36,3.12,,
September,3.67,3.22,2.99,2.72,2.22,3.61,3.26,4.74,0.11,3.25,,
October,0.99,4.28,4.03,3.05,4.34,1.41,2.08,3.94,3.66,8.03,,
November,9.31,3.73,2.16,6.36,2.51,1.20,3.22,2.65,4.14,6.08,,
December,3.66,3.09,1.04,2.69,3.55,5.48,2.78,3.90,6.63,4.05,,
Total,50.47,34.01,28.72,37.18,29.36,31.21,32.76,38.43,30.02,42.13,,
Calc annual,50.47,34.01,28.72,37.18,29.36,31.21,32.76,38.43,30.02,42.13,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
