PEASLAKE-HEATHFOLD-(SOUTHCOTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ090449,Long,-0.44117,Lat,51.19299,Elevation,420,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,190/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.1,1.93,1.7,,,,,,,,,,,,,,,4.11,2.84,2.67,1.09,6.3,6.77,3.99,6.76,2.89,2.78,3.19,7.02,2.41,2.35,3.34,2.76,5.28,1.3,0.8,4.83,2.48,1.65,1.61,3.65,5.07,2.9,3.56,3.42,3.24
February,,,,,,7.21,5.87,1.06,,,,,,,,,,,,,,,0.47,4.19,0.19,4.74,2.5,5.27,0.8,1.63,3.4,3.68,0.93,1.98,0.98,2.46,2.46,1.74,2.05,1.79,6.1,7.74,0.94,1.67,2.92,2.02,0.36,4.66,2.53,0.11,2.58
March,,,,,,1.02,5.47,2.18,,,,,,,,,,,,,,,1.87,4.15,3.01,0.36,2.08,4.55,0.44,1.64,4.26,3.5,2.42,0.62,0.24,1.66,1.23,6.16,0.9,1.38,1.94,4.66,3.05,0.59,3.4,1.64,1.05,1.98,2.39,3.16,2.25
April,,,,,,1.64,1.15,2.2,,,,,,,,,,,,,,,3.61,0.93,2.88,3.77,2.44,3.53,0.16,3.41,1.72,1.97,2,1.39,1.59,1.31,3.29,2.53,2.01,2.17,3.09,3.23,2.26,2.82,0.32,0.32,1.53,0.52,1.08,3.06,0.97
May,,,,,,3.21,3.2,1.52,,,,,,,,,,,,,,,4.67,2.74,0.81,1.9,0.47,3.08,1.71,2.02,1.29,2.42,3.89,3.32,0.64,2.23,3.74,1.52,3.35,2.24,1.46,3.08,3.41,2.79,2.72,4.15,0.41,1.71,3.05,0.65,1.77
June,,,,,,1.66,2.53,1.35,,,,,,,,,,,,,,,2.05,1.6,1.13,4.71,4.36,2.31,0.82,2.14,0.61,2.84,0.23,1.89,2,3.16,2.81,3.1,4.11,0.79,1.62,1.17,2.05,2.25,4.46,2.78,2.94,1.35,4.57,1.24,2.67
July,,,,,,5.34,3.3,4.94,,,,,,,,,,,,,,,3.46,2.45,1.95,1.62,4.8,1.51,2.14,4.67,3.23,3.14,2.41,2.55,1.96,4.38,2.19,1.59,1.26,0.96,4.52,2.98,2.1,4.6,3.37,1.03,3.96,4.74,1.77,1.48,4.12
August,,,,,,2.39,4.19,6.17,,,,,,,,,,,,,,,1.02,1.46,2.54,3.93,0.58,1.35,1.3,2.68,0.17,4.83,3.18,1.98,2.53,2.45,6.66,0.55,4.35,2.13,3.5,5.15,3.4,2.13,3.56,1.15,4.19,3.56,4.25,2.36,3.12
September,,,,,1.3,2.33,2.07,2.35,,,,,,,,,,,,,,,2.9,2.68,2.3,4.98,2.22,2.17,1.96,1.06,1.9,0.41,2.65,2.05,2.87,2.73,4.76,1.42,2.32,1.13,4.15,3.67,3.22,2.99,2.72,2.22,3.61,3.26,4.74,0.11,3.25
October,,,,,2.11,3.19,6.07,3.98,,,,,,,,,,,,,,,6.4,2.56,2.3,4.23,2.47,3.05,3.85,6.85,4.17,1.25,4.03,4.15,5.3,4.61,1.3,0.44,2.3,8.23,0.54,0.99,4.28,4.03,3.05,4.34,1.41,2.08,3.94,3.66,8.03
November,,,,,4.32,3.29,6.77,1.37,,,,,,,,,,,,,,,1.5,1.52,3.36,7.78,4.87,2.7,5.45,5.88,9.03,3.64,1.95,1.72,5.44,0.3,6.04,1.5,2.14,3.68,6.89,9.31,3.73,2.16,6.36,2.51,1.2,3.22,2.65,4.14,6.08
December,,,,,10.35,7.46,3.85,2.22,,,,,,,,,,,,,,,0.75,0.45,10.02,4.59,4.36,5.14,4.41,2.32,2.04,2.83,4.29,2.38,3.12,4.54,3.95,3.28,4.87,2.04,2.52,3.66,3.09,1.04,2.69,3.55,5.48,2.78,3.9,6.63,4.05
Total,,,,,,43.84,46.4,31.04,,,,,,,,,,,,,,,32.81,27.57,33.16,43.7,37.45,41.43,27.03,41.06,34.71,33.29,31.17,31.05,29.08,32.18,41.77,26.59,34.94,27.84,37.13,50.47,34.01,28.72,37.18,29.36,31.21,32.76,38.43,30.02,42.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Station ended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Station restarted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
