"BROADSTAIRS, ST. PETERS COURT",,,,,,,,,,,,
Grid ref,TR387684,Long,1.427652,Lat,51.364471,,,,,,,
Station no,RR4134,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.45,0.37,0.53,2.24,2.82,0.83,2.57,0.95,1.70,0.65,,
February,3.23,1.17,1.14,1.29,1.52,0.80,1.75,1.40,1.31,1.29,,
March,0.73,1.58,1.06,1.83,1.16,1.41,1.78,0.92,2.05,2.81,,
April,0.54,1.18,0.57,2.49,0.94,2.95,0.52,2.69,1.55,1.51,,
May,0.83,1.37,1.76,2.13,2.28,1.19,2.92,2.21,1.75,1.06,,
June,2.84,1.21,2.21,3.48,0.54,3.99,1.62,1.32,1.33,2.68,,
July,1.12,1.34,1.16,3.69,1.28,1.14,0.93,1.88,3.42,3.44,,
August,2.07,1.60,4.17,3.11,1.54,1.77,0.61,1.62,2.55,2.86,,
September,0.27,0.93,0.62,1.82,1.46,2.23,2.11,0.82,1.27,2.37,,
October,1.99,1.46,1.80,4.23,1.94,2.25,2.04,5.49,1.19,7.24,,
November,1.90,0.98,1.93,3.34,1.41,2.59,4.74,2.15,1.29,0.46,,
December,2.13,3.16,1.94,1.57,1.69,0.43,1.72,2.02,2.78,3.69,,
Total,20.10,16.35,18.89,31.22,18.58,21.58,23.31,23.47,22.19,30.06,,
Calc annual,20.10,16.35,18.89,31.22,18.58,21.58,23.31,23.47,22.19,30.06,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
