BROADSTAIRS-ST-PETERS-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR387684,Long,1.427652,Lat,51.364471,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.45,0.37,0.53,2.24,2.82,0.83,2.57,0.95,1.7,0.65,2.4,1.42,2.42,2.72,1.01,2.81,1.11,2.6,2.71,2.5,1.81,1.57,2.95,1.54,2.19,0.89,,,,,
February,3.23,1.17,1.14,1.29,1.52,0.8,1.75,1.4,1.31,1.29,2.6,1.09,1.27,0.65,1.25,2.4,3.7,0.52,0.66,1.86,0.54,0.91,1.32,2.37,0.91,2.86,,,,,
March,0.73,1.58,1.06,1.83,1.16,1.41,1.78,0.92,2.05,2.81,1.27,2.15,2.72,1.95,4.43,0.98,2.78,1.62,0.76,2.96,0.54,1.01,1.88,1.08,1.02,1.2,,,,,
April,0.54,1.18,0.57,2.49,0.94,2.95,0.52,2.69,1.55,1.51,2.44,1.21,0.42,2.09,1.15,1.28,1.53,1.54,1.27,2.82,2.22,1.08,1.74,1.36,2.05,1.91,,,,,
May,0.83,1.37,1.76,2.13,2.28,1.19,2.92,2.21,1.75,1.06,3.13,1.23,0.9,1.47,1.47,2.93,1.86,0.55,1.75,0.22,1.19,0.99,0.54,2.4,3.04,1.95,,,,,
June,2.84,1.21,2.21,3.48,0.54,3.99,1.62,1.32,1.33,2.68,3.03,1.76,3.42,0.59,0.98,0.4,1.54,1.39,0.91,0.73,1.1,0.2,1.81,0.65,1.67,0.71,,,,,
July,1.12,1.34,1.16,3.69,1.28,1.14,0.93,1.88,3.42,3.44,2.42,0.38,1.84,1.56,3.34,2.33,1.29,3.66,3.48,3.69,2.4,0.13,1.88,0.37,2.57,2.19,,,,,
August,2.07,1.6,4.17,3.11,1.54,1.77,0.61,1.62,2.55,2.86,2.87,0.91,5.49,0.62,0.6,1.1,2.2,5.63,1.45,1.95,2.26,1.15,2.21,1.94,1.8,1.04,,,,,
September,0.27,0.93,0.62,1.82,1.46,2.23,2.11,0.82,1.27,2.37,1.19,1.94,2.78,2.25,0.52,3.98,1.04,0.88,4.56,0.78,3.96,0.61,3.72,1.52,2.48,2.52,,,,,
October,1.99,1.46,1.8,4.23,1.94,2.25,2.04,5.49,1.19,7.24,1.37,5.85,3.14,3.73,3.12,2.66,4.26,2.26,2.47,1.89,0.91,0.83,2.65,4.57,3.59,2.36,,,,,
November,1.9,0.98,1.93,3.34,1.41,2.59,4.74,2.15,1.29,0.46,3.71,4.28,1.73,2.69,3.08,3.08,3.26,1.1,2.3,3.74,0.63,1.65,0.95,2.24,2.25,3.38,,,,,
December,2.13,3.16,1.94,1.57,1.69,0.43,1.72,2.02,2.78,3.69,3.45,3.87,2.01,1.32,4.9,5.16,2.46,1.44,1.73,3.01,2.55,1.07,1.75,2.17,1.97,2.54,,,,,
Total,20.1,16.35,18.89,31.22,18.58,21.58,23.31,23.47,22.19,30.06,29.88,26.09,28.14,21.64,25.85,29.11,27.03,23.19,24.05,26.15,20.11,11.2,23.4,22.21,25.54,23.55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
